McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
5,0,9,0,64,152,2197,776,550,5.0,0.0,64.0,0.0,319.0,1.0,1.0,1
1,0,4,0,19,61,2198,777,550,1.0,0.0,19.0,0.0,319.0,1.0,1.0,0
1,0,2,0,7,33,2199,778,551,1.0,0.0,7.0,0.0,1466.0,2.0,3.0,0
12,0,9,0,88,180,2200,779,551,12.0,0.0,88.0,0.0,1466.0,2.0,2.0,0
10,0,1,18,130,175,2202,780,553,10.0,0.0,130.0,0.0,1466.0,2.0,7.0,1
7,0,0,23,127,174,2203,781,553,7.0,0.0,127.0,0.0,1466.0,3.0,9.0,1
9,0,16,3,60,148,2204,782,553,9.0,0.0,60.0,0.0,1466.0,3.0,9.0,1
3,0,1,18,94,137,2205,783,553,3.0,0.0,94.0,0.0,1466.0,2.0,7.0,1
5,0,1,18,98,146,2206,784,553,5.0,0.0,98.0,0.0,1466.0,2.0,10.0,1
7,0,7,3,83,149,2207,785,554,7.0,0.0,83.0,0.0,319.0,3.0,3.0,0
6,0,14,27,190,330,2208,786,554,6.0,0.0,190.0,0.0,4735.0,1.0,1.0,0
6,0,14,27,190,330,2209,787,554,6.0,0.0,190.0,0.0,4735.0,1.0,1.0,0
6,0,15,28,196,343,2210,788,554,6.0,0.0,196.0,0.0,762.0,2.0,10.0,0
5,0,2,1,34,65,2211,789,554,5.0,0.0,34.0,0.0,511.0,1.0,1.0,0
1,0,1,13,50,91,2212,790,554,1.0,0.0,50.0,0.0,762.0,3.0,5.0,0
10,0,1,7,37,72,2213,791,554,10.0,0.0,37.0,0.0,1466.0,2.0,2.0,0
11,0,1,6,91,134,2215,792,556,11.0,0.0,91.0,0.0,1466.0,1.0,1.0,0
1,0,1,1,5,31,2216,793,556,1.0,0.0,5.0,0.0,1466.0,1.0,1.0,0
22,0,5,10,109,196,2217,794,556,22.0,0.0,109.0,0.0,1466.0,2.0,2.0,0
1,0,1,5,9,39,2218,795,556,1.0,0.0,9.0,0.0,1466.0,1.0,1.0,0
19,0,2,9,153,218,2219,796,557,19.0,0.0,153.0,2.0,89.0,3.0,10.0,0
16,0,3,9,118,184,2220,797,557,16.0,0.0,118.0,0.0,4735.0,1.0,3.0,0
10,0,1,8,94,146,2221,798,557,10.0,0.0,94.0,0.0,4735.0,1.0,3.0,0
9,0,3,11,83,142,2222,799,557,9.0,0.0,83.0,0.0,1466.0,3.0,7.0,0
1,0,4,8,21,66,2223,800,557,1.0,0.0,21.0,0.0,4735.0,1.0,5.0,0
1,0,1,0,3,26,2224,801,557,1.0,0.0,3.0,0.0,4735.0,1.0,1.0,0
15,0,2,13,127,174,2225,802,557,15.0,0.0,127.0,0.0,4735.0,1.0,7.0,0
2,0,1,2,41,75,2227,803,559,2.0,0.0,41.0,0.0,4735.0,2.0,6.0,0
3,0,1,3,39,74,2228,804,559,3.0,0.0,39.0,0.0,4735.0,1.0,3.0,0
2,0,1,2,34,65,2229,805,559,2.0,0.0,34.0,0.0,4735.0,1.0,3.0,0
20,0,1,12,107,148,2230,806,559,20.0,0.0,107.0,1.0,4735.0,1.0,8.0,0
1,0,1,0,5,30,2231,807,559,1.0,0.0,5.0,0.0,4735.0,1.0,1.0,0
16,0,3,33,247,369,2232,808,560,16.0,0.0,247.0,0.0,1466.0,3.0,5.0,1
74,0,9,2,318,487,2233,809,560,74.0,0.0,318.0,1.0,22.0,4.0,7.0,1
25,0,3,17,161,238,2234,810,560,25.0,0.0,161.0,1.0,22.0,4.0,6.0,1
22,0,15,0,127,289,2235,811,560,22.0,0.0,127.0,0.0,22.0,2.0,5.0,1
3,0,1,2,23,54,2236,812,560,3.0,0.0,23.0,0.0,9.0,2.0,3.0,0
1,0,1,0,26,56,2237,813,560,1.0,0.0,26.0,0.0,4735.0,1.0,3.0,0
2,0,1,2,23,53,2238,814,560,2.0,0.0,23.0,0.0,1466.0,2.0,2.0,0
16,0,0,3,86,129,2242,815,562,16.0,0.0,86.0,0.0,22.0,1.0,1.0,0
38,0,7,9,292,476,2243,816,562,38.0,0.0,292.0,0.0,22.0,1.0,1.0,1
1,0,6,4,52,120,2244,817,562,1.0,0.0,52.0,0.0,22.0,1.0,2.0,0
1,0,0,8,42,74,2245,818,562,1.0,0.0,42.0,0.0,22.0,1.0,2.0,0
1,0,0,3,19,46,2246,819,562,1.0,0.0,19.0,0.0,22.0,1.0,1.0,0
7,0,0,12,88,126,2247,820,562,7.0,0.0,88.0,0.0,22.0,1.0,1.0,0
1,0,0,4,28,55,2248,821,562,1.0,0.0,28.0,0.0,22.0,1.0,1.0,0
7,0,0,8,76,116,2249,822,562,7.0,0.0,76.0,0.0,22.0,1.0,1.0,0
1,0,0,7,35,67,2250,823,562,1.0,0.0,35.0,0.0,22.0,1.0,1.0,0
7,0,5,0,56,130,2251,824,562,7.0,0.0,56.0,0.0,22.0,1.0,1.0,0
1,0,0,3,17,43,2252,825,562,1.0,0.0,17.0,0.0,22.0,1.0,1.0,0
53,0,14,3,372,630,2253,826,562,53.0,0.0,372.0,0.0,22.0,2.0,3.0,1
38,0,14,1,218,384,2254,827,563,38.0,0.0,218.0,0.0,1466.0,2.0,2.0,0
9,0,0,0,107,151,2255,828,564,9.0,0.0,107.0,0.0,4735.0,1.0,1.0,0
60,0,0,0,588,864,2256,829,564,60.0,0.0,588.0,0.0,4735.0,1.0,2.0,0
8,0,13,3,277,512,2257,830,564,8.0,0.0,277.0,0.0,4735.0,1.0,1.0,0
8,0,1,3,41,70,2258,831,564,8.0,0.0,41.0,0.0,1466.0,1.0,1.0,0
4,0,1,5,41,77,2259,832,564,4.0,0.0,41.0,0.0,4735.0,1.0,1.0,0
1,0,1,0,11,38,2260,833,564,1.0,0.0,11.0,0.0,91.0,1.0,1.0,0
6,0,1,0,67,137,2261,834,564,6.0,0.0,67.0,0.0,1466.0,1.0,1.0,0
1,0,0,0,79,166,2262,835,564,1.0,0.0,79.0,0.0,4735.0,1.0,1.0,0
11,0,7,1,68,124,2263,836,565,11.0,0.0,68.0,0.0,4735.0,1.0,2.0,0
10,0,1,8,76,125,2264,837,565,10.0,0.0,76.0,0.0,4735.0,1.0,1.0,0
43,0,6,60,459,641,2265,838,565,43.0,0.0,459.0,0.0,511.0,2.0,2.0,0
5,0,1,1,36,65,2266,839,565,5.0,0.0,36.0,0.0,4735.0,1.0,1.0,0
1,0,3,3,20,62,2267,840,565,1.0,0.0,20.0,0.0,4735.0,1.0,1.0,0
89,0,11,32,457,668,2268,841,565,89.0,0.0,457.0,0.0,4735.0,1.0,1.0,0
6,0,2,5,69,112,2269,842,565,6.0,0.0,69.0,0.0,91.0,2.0,2.0,0
10,0,3,4,81,133,2270,843,565,10.0,0.0,81.0,0.0,4735.0,1.0,1.0,0
1,0,2,8,35,77,2271,844,566,1.0,0.0,35.0,0.0,4735.0,1.0,1.0,0
7,0,7,3,69,131,2272,845,566,7.0,0.0,69.0,0.0,4735.0,1.0,1.0,0
13,0,6,0,236,335,2273,846,566,13.0,0.0,236.0,0.0,4735.0,1.0,1.0,0
6,0,7,6,70,142,2274,847,566,6.0,0.0,70.0,0.0,4735.0,1.0,1.0,0
12,0,8,0,161,270,2275,848,567,12.0,0.0,161.0,0.0,4735.0,1.0,1.0,0
1,0,0,2,5,27,2276,849,568,1.0,0.0,5.0,0.0,4735.0,1.0,1.0,0
1,0,0,2,7,29,2277,850,568,1.0,0.0,7.0,0.0,4735.0,1.0,1.0,0
17,0,18,0,97,272,2278,851,568,17.0,0.0,97.0,0.0,4735.0,1.0,1.0,0
7,0,10,4,88,206,2279,852,568,7.0,0.0,88.0,0.0,4735.0,1.0,1.0,0
8,0,2,5,65,110,2280,853,568,8.0,0.0,65.0,0.0,4735.0,1.0,1.0,1
37,0,3,8,178,235,2281,854,568,37.0,0.0,178.0,0.0,4735.0,1.0,1.0,1
16,0,11,7,158,301,2282,855,568,16.0,0.0,158.0,1.0,4735.0,3.0,6.0,0
10,0,1,2,66,100,2283,856,568,10.0,0.0,66.0,0.0,4735.0,1.0,1.0,0
43,0,13,0,202,333,2284,857,568,43.0,0.0,202.0,0.0,4735.0,1.0,1.0,0
1,0,2,26,118,175,2286,858,570,1.0,0.0,118.0,0.0,1466.0,2.0,14.0,0
1,0,1,30,128,184,2287,859,570,1.0,0.0,128.0,0.0,4735.0,2.0,15.0,0
6,0,1,11,69,105,2288,860,570,6.0,0.0,69.0,0.0,1466.0,2.0,2.0,0
19,0,1,14,120,165,2289,861,570,19.0,0.0,120.0,0.0,4735.0,1.0,8.0,0
7,0,2,14,89,151,2290,862,570,7.0,0.0,89.0,0.0,4735.0,2.0,8.0,1
3,0,1,4,39,73,2291,863,570,3.0,0.0,39.0,0.0,4735.0,1.0,3.0,0
6,0,1,7,61,97,2292,864,570,6.0,0.0,61.0,0.0,762.0,3.0,7.0,0
4,0,1,6,52,85,2293,865,570,4.0,0.0,52.0,0.0,762.0,3.0,7.0,0
4,0,1,9,51,87,2294,866,570,4.0,0.0,51.0,1.0,511.0,1.0,1.0,0
1,0,1,6,29,60,2295,867,570,1.0,0.0,29.0,0.0,4735.0,1.0,1.0,0
70,0,14,19,370,497,2296,868,570,70.0,0.0,370.0,1.0,246.0,5.0,30.0,0
52,0,15,25,338,468,2297,869,570,52.0,0.0,338.0,1.0,246.0,5.0,32.0,0
7,0,1,1,31,63,2300,870,572,7.0,0.0,31.0,0.0,244.0,2.0,2.0,0
59,0,1,4,219,264,2301,871,573,59.0,0.0,219.0,1.0,319.0,5.0,6.0,1
3,0,1,6,30,67,2302,872,573,3.0,0.0,30.0,1.0,319.0,3.0,3.0,0
85,0,2,1,147,191,2303,873,573,85.0,0.0,147.0,0.0,244.0,3.0,3.0,1
1,0,1,1,5,31,2305,874,575,1.0,0.0,5.0,0.0,1466.0,1.0,1.0,0
10,0,7,0,53,90,2306,875,575,10.0,0.0,53.0,0.0,511.0,1.0,1.0,0
1,0,18,2,22,123,2307,876,576,1.0,0.0,22.0,0.0,474.0,1.0,1.0,0
3,0,2,4,40,81,2308,877,576,3.0,0.0,40.0,0.0,89.0,2.0,2.0,0
16,0,1,13,111,160,2309,878,576,16.0,0.0,111.0,0.0,474.0,1.0,1.0,0
8,0,1,9,100,147,2310,879,577,8.0,0.0,100.0,0.0,474.0,1.0,1.0,0
1,0,1,0,15,43,2311,880,577,1.0,0.0,15.0,0.0,89.0,1.0,1.0,0
13,0,9,0,124,246,2312,881,578,13.0,0.0,124.0,0.0,1466.0,1.0,1.0,0
8,0,1,9,97,142,2313,882,578,8.0,0.0,97.0,0.0,474.0,1.0,1.0,0
1,0,1,0,16,43,2314,883,578,1.0,0.0,16.0,0.0,89.0,1.0,1.0,0
10,0,1,1,79,114,2315,884,578,10.0,0.0,79.0,0.0,4735.0,1.0,1.0,0
1,0,1,9,81,128,2316,885,579,1.0,0.0,81.0,0.0,474.0,1.0,1.0,0
1,0,1,0,15,42,2317,886,579,1.0,0.0,15.0,0.0,89.0,1.0,1.0,0
44,0,1,2,212,268,2318,887,580,44.0,0.0,212.0,0.0,1466.0,2.0,2.0,0
7,0,3,1,32,66,2319,888,581,7.0,0.0,32.0,1.0,4735.0,1.0,3.0,0
2,0,1,11,50,87,2320,889,581,2.0,0.0,50.0,0.0,4735.0,1.0,3.0,0
1,0,2,10,52,99,2321,890,581,1.0,0.0,52.0,0.0,4735.0,2.0,2.0,0
3,0,5,0,34,91,2322,891,581,3.0,0.0,34.0,0.0,1466.0,1.0,2.0,0
60,0,4,15,309,377,2323,892,581,60.0,0.0,309.0,2.0,1466.0,6.0,31.0,1
3,0,1,5,37,70,2324,893,581,3.0,0.0,37.0,1.0,515.0,3.0,3.0,0
11,0,1,6,62,97,2325,894,581,11.0,0.0,62.0,0.0,4735.0,2.0,3.0,0
1,0,1,1,5,30,2326,895,581,1.0,0.0,5.0,0.0,1466.0,2.0,2.0,0
1,0,1,1,5,31,2327,896,581,1.0,0.0,5.0,0.0,1466.0,2.0,2.0,0
8,0,2,2,55,93,2328,897,581,8.0,0.0,55.0,0.0,1466.0,1.0,1.0,0
24,0,2,17,185,240,2330,898,583,24.0,0.0,185.0,2.0,2.0,4.0,4.0,0
3,0,1,4,37,69,2331,899,583,3.0,0.0,37.0,0.0,1466.0,3.0,4.0,0
12,0,1,4,129,200,2332,900,583,12.0,0.0,129.0,1.0,511.0,3.0,5.0,0
3,0,1,4,45,80,2333,901,583,3.0,0.0,45.0,1.0,511.0,3.0,3.0,0
3,0,2,9,53,95,2335,902,585,3.0,0.0,53.0,0.0,1466.0,2.0,2.0,0
27,0,1,4,168,219,2336,903,585,27.0,0.0,168.0,0.0,1466.0,2.0,2.0,1
1,0,1,4,34,68,2337,904,585,1.0,0.0,34.0,0.0,1466.0,2.0,2.0,0
1,0,1,1,11,38,2338,905,585,1.0,0.0,11.0,0.0,4735.0,1.0,2.0,0
13,0,7,1,84,149,2339,906,585,13.0,0.0,84.0,0.0,511.0,5.0,7.0,0
13,0,1,4,118,171,2340,907,585,13.0,0.0,118.0,0.0,762.0,3.0,5.0,1
6,0,1,4,39,69,2341,908,585,6.0,0.0,39.0,0.0,4735.0,1.0,1.0,0
15,0,1,16,118,176,2342,909,585,15.0,0.0,118.0,1.0,1466.0,2.0,3.0,0
28,0,1,4,171,242,2343,910,585,28.0,0.0,171.0,0.0,1466.0,2.0,2.0,0
12,0,1,6,63,99,2344,911,586,12.0,0.0,63.0,0.0,4735.0,3.0,5.0,0
17,0,1,6,118,171,2345,912,586,17.0,0.0,118.0,1.0,1466.0,2.0,2.0,0
1,0,1,1,7,32,2346,913,586,1.0,0.0,7.0,0.0,4735.0,1.0,1.0,0
1,0,1,7,35,68,2347,914,586,1.0,0.0,35.0,0.0,1466.0,4.0,6.0,0
3,0,1,6,42,75,2348,915,586,3.0,0.0,42.0,0.0,1466.0,4.0,6.0,0
3,0,0,6,38,68,2349,916,586,3.0,0.0,38.0,0.0,4735.0,2.0,3.0,0
4,0,1,4,33,66,2350,917,586,4.0,0.0,33.0,0.0,4735.0,2.0,3.0,0
4,0,1,4,32,65,2351,918,586,4.0,0.0,32.0,0.0,4735.0,2.0,4.0,0
2,0,1,5,57,97,2352,919,586,2.0,0.0,57.0,0.0,511.0,3.0,4.0,0
27,0,1,34,208,278,2353,920,586,27.0,0.0,208.0,1.0,511.0,3.0,5.0,0
35,0,9,5,184,279,2354,921,586,35.0,0.0,184.0,1.0,511.0,4.0,7.0,1
4,0,2,0,42,79,2355,922,586,4.0,0.0,42.0,1.0,1466.0,1.0,1.0,0
1,0,1,4,21,52,2356,923,586,1.0,0.0,21.0,0.0,4735.0,3.0,3.0,0
7,0,1,6,41,75,2357,924,586,7.0,0.0,41.0,0.0,4735.0,3.0,4.0,0
14,0,1,6,69,104,2358,925,586,14.0,0.0,69.0,0.0,4735.0,3.0,4.0,0
25,0,3,6,115,170,2359,926,586,25.0,0.0,115.0,1.0,511.0,3.0,10.0,0
8,0,1,9,63,110,2360,927,586,8.0,0.0,63.0,0.0,1466.0,2.0,2.0,0
79,0,6,3,316,417,2361,928,586,79.0,0.0,316.0,2.0,762.0,3.0,15.0,0
1,0,1,1,6,33,2362,929,586,1.0,0.0,6.0,0.0,1466.0,2.0,2.0,0
1,0,2,1,14,45,2363,930,586,1.0,0.0,14.0,0.0,1466.0,3.0,3.0,0
11,0,12,6,122,262,2364,931,586,11.0,0.0,122.0,0.0,1466.0,4.0,8.0,0
6,0,1,8,45,83,2371,932,588,6.0,0.0,45.0,1.0,246.0,3.0,6.0,1
3,0,0,5,159,203,2372,933,588,3.0,0.0,159.0,2.0,246.0,1.0,3.0,0
51,0,1,15,307,380,2373,934,588,51.0,0.0,307.0,2.0,246.0,8.0,22.0,1
9,0,1,12,150,209,2374,935,588,9.0,0.0,150.0,1.0,246.0,6.0,15.0,1
2,0,1,4,52,93,2375,936,588,2.0,0.0,52.0,2.0,1466.0,3.0,4.0,1
1,0,1,4,15,47,2376,937,588,1.0,0.0,15.0,1.0,246.0,3.0,6.0,1
2,0,0,6,45,77,2377,938,588,2.0,0.0,45.0,1.0,246.0,1.0,4.0,1
1,0,2,10,53,98,2378,939,589,1.0,0.0,53.0,0.0,4735.0,1.0,1.0,0
12,0,1,7,68,106,2379,940,589,12.0,0.0,68.0,0.0,4735.0,1.0,1.0,0
1,0,1,6,30,62,2380,941,589,1.0,0.0,30.0,0.0,4735.0,1.0,1.0,0
15,0,5,1,83,140,2382,942,591,15.0,0.0,83.0,0.0,511.0,2.0,5.0,0
1,0,1,0,12,38,2384,943,593,1.0,0.0,12.0,0.0,1466.0,2.0,2.0,0
1,0,1,3,26,56,2385,944,593,1.0,0.0,26.0,0.0,1466.0,2.0,2.0,0
28,0,5,7,136,193,2386,945,594,28.0,0.0,136.0,0.0,1466.0,3.0,4.0,0
59,0,7,12,209,322,2387,946,594,59.0,0.0,209.0,1.0,4735.0,4.0,6.0,0
1,0,1,0,12,59,2388,947,595,1.0,0.0,12.0,0.0,1466.0,1.0,1.0,0
27,0,1,16,167,230,2389,948,596,27.0,0.0,167.0,1.0,474.0,2.0,2.0,0
14,0,6,1,92,175,2391,949,598,14.0,0.0,92.0,0.0,4735.0,1.0,1.0,1
1,0,0,0,13,41,2392,950,599,1.0,0.0,13.0,0.0,511.0,1.0,1.0,0
3,0,1,3,35,69,2393,951,599,3.0,0.0,35.0,0.0,511.0,1.0,1.0,0
4,0,1,3,58,98,2394,952,599,4.0,0.0,58.0,0.0,511.0,1.0,1.0,0
1,0,0,0,19,48,2395,953,599,1.0,0.0,19.0,0.0,511.0,1.0,1.0,0
2,0,1,7,36,71,2396,954,599,2.0,0.0,36.0,0.0,511.0,3.0,5.0,0
1,0,5,7,18,57,2397,955,599,1.0,0.0,18.0,0.0,511.0,2.0,3.0,0
7,0,10,2,175,253,2398,956,599,7.0,0.0,175.0,0.0,511.0,1.0,1.0,0
41,0,4,5,134,195,2407,957,601,41.0,0.0,134.0,1.0,1466.0,4.0,5.0,0
9,0,1,3,40,69,2409,958,603,9.0,0.0,40.0,0.0,1466.0,2.0,3.0,0
11,0,7,13,83,160,2410,959,603,11.0,0.0,83.0,0.0,511.0,3.0,4.0,0
13,0,1,12,404,545,2411,960,603,13.0,0.0,404.0,0.0,511.0,2.0,2.0,0
120,0,29,47,760,1044,2414,961,605,120.0,0.0,760.0,0.0,4735.0,7.0,26.0,0
1,0,41,0,53,316,2415,962,605,1.0,0.0,53.0,0.0,4735.0,4.0,10.0,0
1,0,1,2,10,39,2416,963,605,1.0,0.0,10.0,0.0,1466.0,1.0,1.0,0
2,0,1,6,27,59,2417,964,605,2.0,0.0,27.0,0.0,1466.0,1.0,1.0,0
1,0,1,1,8,35,2419,965,607,1.0,0.0,8.0,0.0,4735.0,1.0,1.0,0
3,0,1,2,40,69,2420,966,607,3.0,0.0,40.0,0.0,4735.0,1.0,2.0,0
10,0,3,2,66,108,2421,967,607,10.0,0.0,66.0,1.0,4735.0,1.0,1.0,0
8,0,3,0,25,63,2422,968,607,8.0,0.0,25.0,0.0,1.0,1.0,1.0,0
16,0,1,4,91,132,2423,969,607,16.0,0.0,91.0,1.0,1466.0,2.0,3.0,0
1,0,1,2,14,44,2424,970,607,1.0,0.0,14.0,1.0,4735.0,1.0,2.0,0
3,0,1,9,48,82,2441,971,612,3.0,0.0,48.0,0.0,1466.0,3.0,7.0,0
7,0,1,11,70,109,2442,972,612,7.0,0.0,70.0,0.0,1466.0,3.0,8.0,0
4,0,1,10,57,95,2443,973,612,4.0,0.0,57.0,0.0,1466.0,3.0,7.0,0
1,0,6,0,10,57,2444,974,612,1.0,0.0,10.0,0.0,1466.0,3.0,5.0,0
7,0,1,1,41,77,2445,975,612,7.0,0.0,41.0,0.0,1466.0,3.0,3.0,0
1,0,1,3,19,50,2446,976,613,1.0,0.0,19.0,0.0,4735.0,1.0,2.0,0
10,0,1,12,86,128,2447,977,613,10.0,0.0,86.0,0.0,4735.0,2.0,4.0,0
7,0,1,8,43,82,2448,978,613,7.0,0.0,43.0,0.0,4735.0,2.0,3.0,0
8,0,1,5,51,83,2449,979,613,8.0,0.0,51.0,0.0,762.0,1.0,1.0,0
1,0,1,1,6,33,2450,980,613,1.0,0.0,6.0,0.0,4735.0,1.0,2.0,0
4,0,1,3,50,88,2451,981,613,4.0,0.0,50.0,0.0,1466.0,1.0,1.0,0
3,0,1,6,177,250,2452,982,614,3.0,0.0,177.0,0.0,26.0,1.0,1.0,0
26,0,1,33,188,253,2453,983,614,26.0,0.0,188.0,0.0,26.0,4.0,4.0,1
16,0,18,6,145,325,2454,984,614,16.0,0.0,145.0,0.0,22.0,3.0,4.0,1
36,0,3,16,198,257,2455,985,614,36.0,0.0,198.0,0.0,1466.0,1.0,1.0,0
5,0,2,0,23,51,2456,986,614,5.0,0.0,23.0,0.0,511.0,1.0,2.0,0
3,0,1,6,177,244,2457,987,614,3.0,0.0,177.0,0.0,26.0,1.0,1.0,0
25,0,1,32,168,233,2458,988,614,25.0,0.0,168.0,0.0,26.0,2.0,2.0,0
25,0,1,42,225,302,2459,989,614,25.0,0.0,225.0,0.0,1466.0,2.0,2.0,0
1,0,0,0,18,44,2465,990,616,1.0,0.0,18.0,0.0,511.0,1.0,1.0,0
10,0,0,0,118,163,2466,991,616,10.0,0.0,118.0,1.0,511.0,1.0,2.0,0
1,0,0,0,5,31,2467,992,616,1.0,0.0,5.0,0.0,511.0,2.0,2.0,0
22,0,23,0,342,460,2468,993,616,22.0,0.0,342.0,0.0,511.0,2.0,3.0,0
11,0,0,0,92,131,2469,994,616,11.0,0.0,92.0,0.0,511.0,1.0,1.0,0
9,0,0,0,72,111,2470,995,616,9.0,0.0,72.0,0.0,511.0,2.0,2.0,0
4,0,1,5,41,80,2471,996,616,4.0,0.0,41.0,1.0,511.0,2.0,3.0,0
3,0,1,5,37,75,2472,997,616,3.0,0.0,37.0,1.0,511.0,2.0,3.0,0
7,0,0,0,56,94,2473,998,616,7.0,0.0,56.0,1.0,511.0,3.0,5.0,0
9,0,0,0,72,111,2474,999,616,9.0,0.0,72.0,0.0,511.0,4.0,5.0,0
7,0,0,0,52,89,2475,1000,616,7.0,0.0,52.0,0.0,511.0,2.0,2.0,0
40,0,7,12,332,558,2476,1001,616,40.0,0.0,332.0,0.0,1466.0,3.0,3.0,0
1,0,5,0,8,50,2477,1002,616,1.0,0.0,8.0,0.0,511.0,1.0,1.0,0
15,0,13,0,89,141,2478,1003,616,15.0,0.0,89.0,0.0,511.0,1.0,1.0,0
11,0,5,9,138,203,2479,1004,616,11.0,0.0,138.0,0.0,31.0,3.0,5.0,1
1,0,5,0,7,48,2480,1005,616,1.0,0.0,7.0,0.0,89.0,1.0,1.0,0
1,0,4,0,6,43,2481,1006,616,1.0,0.0,6.0,1.0,89.0,3.0,3.0,0
1,0,5,0,7,48,2482,1007,616,1.0,0.0,7.0,0.0,511.0,2.0,2.0,0
1,0,0,12,39,71,2483,1008,616,1.0,0.0,39.0,0.0,246.0,1.0,1.0,0
1,0,3,0,5,38,2484,1009,616,1.0,0.0,5.0,0.0,89.0,1.0,1.0,0
18,0,0,14,121,163,2485,1010,616,18.0,0.0,121.0,0.0,1466.0,1.0,1.0,0
18,0,0,14,122,164,2486,1011,616,18.0,0.0,122.0,0.0,1466.0,1.0,2.0,0
9,0,1,10,74,106,2487,1012,616,9.0,0.0,74.0,0.0,1466.0,1.0,1.0,0
10,0,2,0,76,115,2488,1013,616,10.0,0.0,76.0,0.0,511.0,1.0,1.0,1
1,0,2,0,6,34,2494,1014,618,1.0,0.0,6.0,1.0,4735.0,1.0,1.0,0
9,0,7,3,64,134,2495,1015,618,9.0,0.0,64.0,0.0,1466.0,3.0,5.0,0
12,0,3,3,132,366,2496,1016,618,12.0,0.0,132.0,0.0,762.0,2.0,3.0,0
4,0,3,6,55,100,2497,1017,618,4.0,0.0,55.0,0.0,511.0,2.0,7.0,0
1,0,2,23,98,150,2498,1018,618,1.0,0.0,98.0,0.0,4735.0,1.0,2.0,0
5,0,4,1,37,82,2499,1019,618,5.0,0.0,37.0,0.0,1466.0,1.0,2.0,0
7,0,1,2,42,70,2500,1020,618,7.0,0.0,42.0,1.0,31.0,3.0,9.0,0
7,0,2,7,98,159,2501,1021,618,7.0,0.0,98.0,2.0,4735.0,3.0,12.0,1
1,0,1,4,18,46,2502,1022,618,1.0,0.0,18.0,0.0,1466.0,2.0,3.0,0
4,0,1,3,45,79,2503,1023,618,4.0,0.0,45.0,1.0,1466.0,3.0,7.0,0
9,0,1,3,56,97,2504,1024,618,9.0,0.0,56.0,0.0,1466.0,1.0,2.0,0
2,0,1,2,18,46,2505,1025,618,2.0,0.0,18.0,0.0,4735.0,1.0,1.0,0
1,0,1,3,30,63,2506,1026,618,1.0,0.0,30.0,0.0,1466.0,2.0,2.0,0
17,0,1,5,128,177,2507,1027,618,17.0,0.0,128.0,0.0,1466.0,4.0,8.0,0
1,0,1,3,29,61,2508,1028,618,1.0,0.0,29.0,0.0,1466.0,2.0,2.0,0
9,0,2,19,148,209,2509,1029,618,9.0,0.0,148.0,1.0,1466.0,2.0,3.0,0
1,0,1,2,10,37,2510,1030,618,1.0,0.0,10.0,0.0,1466.0,1.0,1.0,0
1,0,2,0,5,33,2511,1031,618,1.0,0.0,5.0,0.0,4735.0,1.0,1.0,0
2,0,2,20,94,151,2515,1032,620,2.0,0.0,94.0,1.0,474.0,2.0,3.0,0
1,0,10,1,15,78,2516,1033,620,1.0,0.0,15.0,0.0,4735.0,1.0,2.0,0
122,0,4,133,1008,1209,2517,1034,620,122.0,0.0,1008.0,1.0,1466.0,7.0,20.0,0
49,0,18,1,167,265,2518,1035,620,49.0,0.0,167.0,0.0,1466.0,3.0,7.0,1
1,0,1,47,54,128,2519,1036,620,1.0,0.0,54.0,0.0,4735.0,1.0,3.0,0
67,0,5,11,357,429,2520,1037,620,67.0,0.0,357.0,3.0,1466.0,3.0,15.0,0
1,0,3,37,109,195,2521,1038,620,1.0,0.0,109.0,0.0,34.0,4.0,8.0,0
1,0,1,1,7,33,2522,1039,620,1.0,0.0,7.0,0.0,4735.0,1.0,1.0,0
8,0,1,5,73,124,2523,1040,620,8.0,0.0,73.0,0.0,1.0,2.0,3.0,0
2,0,1,11,68,108,2524,1041,621,2.0,0.0,68.0,0.0,4735.0,1.0,6.0,0
8,0,1,48,263,342,2525,1042,621,8.0,0.0,263.0,1.0,4735.0,1.0,7.0,1
31,0,1,24,185,240,2526,1043,621,31.0,0.0,185.0,0.0,1466.0,2.0,3.0,0
2,0,1,11,66,106,2527,1044,622,2.0,0.0,66.0,0.0,4735.0,1.0,5.0,1
2,0,1,6,70,104,2528,1045,622,2.0,0.0,70.0,0.0,4735.0,1.0,5.0,0
1,0,1,2,13,40,2529,1046,622,1.0,0.0,13.0,0.0,4735.0,1.0,1.0,0
32,0,1,18,233,317,2531,1047,624,32.0,0.0,233.0,0.0,34.0,4.0,8.0,0
75,0,2,22,317,391,2532,1048,624,75.0,0.0,317.0,4.0,31.0,7.0,10.0,1
2,0,1,11,64,104,2535,1049,626,2.0,0.0,64.0,0.0,1466.0,2.0,3.0,0
2,0,1,6,70,104,2536,1050,626,2.0,0.0,70.0,0.0,4735.0,1.0,4.0,0
1,0,1,2,13,40,2537,1051,626,1.0,0.0,13.0,0.0,4735.0,1.0,1.0,0
2,0,2,2,32,72,2541,1052,629,2.0,0.0,32.0,0.0,1466.0,2.0,2.0,0
1,0,2,3,23,61,2542,1053,629,1.0,0.0,23.0,0.0,1466.0,2.0,2.0,0
1,0,4,0,8,50,2543,1054,629,1.0,0.0,8.0,0.0,1466.0,2.0,2.0,0
