McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,target
1,0,57,0,107,458,152,287,41,1.0,0.0,107.0,2.0,70.0,4.0,0.0,0
19,0,18,1,213,418,153,288,41,19.0,0.0,213.0,2.0,590.0,2.0,0.0,0
50,0,11,15,404,621,154,289,41,50.0,0.0,404.0,2.0,70.0,14.0,0.0,0
2,0,12,3,91,145,155,290,41,2.0,0.0,91.0,1.0,70.0,2.0,0.0,0
4,0,1,5,50,93,156,291,41,4.0,0.0,50.0,2.0,70.0,3.0,0.0,0
11,0,0,5,176,232,157,292,41,11.0,0.0,176.0,2.0,590.0,9.0,1.0,0
1,0,61,16,155,540,158,293,41,1.0,0.0,155.0,2.0,70.0,7.0,0.0,0
1,0,9,12,197,330,159,294,41,1.0,0.0,197.0,2.0,70.0,8.0,0.0,1
7,0,0,0,206,290,160,295,41,7.0,0.0,206.0,2.0,70.0,4.0,0.0,0
64,0,2,3,369,583,161,296,41,64.0,0.0,369.0,2.0,70.0,9.0,0.0,0
46,0,0,0,284,428,162,297,41,46.0,0.0,284.0,2.0,70.0,16.0,0.0,0
12,0,1,2,65,108,163,298,41,12.0,0.0,65.0,2.0,70.0,3.0,0.0,0
8,0,3,1,169,241,164,299,41,8.0,0.0,169.0,2.0,70.0,8.0,0.0,0
57,0,1,7,435,552,165,300,41,57.0,0.0,435.0,2.0,590.0,9.0,1.0,0
8,0,6,3,89,182,166,301,41,8.0,0.0,89.0,2.0,70.0,5.0,0.0,0
98,0,51,56,1039,1600,168,302,41,98.0,0.0,1039.0,2.0,70.0,11.0,0.0,1
73,0,14,56,866,1280,167,303,41,73.0,0.0,866.0,2.0,70.0,4.0,0.0,0
38,0,1,2,132,222,203,304,46,38.0,0.0,132.0,1.0,70.0,1.0,0.0,0
6,0,5,10,79,167,204,305,47,6.0,0.0,79.0,2.0,70.0,3.0,0.0,0
21,0,1,1,122,177,205,306,47,21.0,0.0,122.0,2.0,70.0,3.0,0.0,0
3,0,0,2,28,58,206,307,47,3.0,0.0,28.0,2.0,70.0,3.0,0.0,0
18,0,2,1,315,416,207,308,48,18.0,0.0,315.0,2.0,70.0,15.0,0.0,0
32,0,1,2,215,316,208,309,48,32.0,0.0,215.0,2.0,70.0,11.0,0.0,0
18,0,2,15,150,235,209,310,48,18.0,0.0,150.0,2.0,70.0,4.0,0.0,0
210,0,7,8,2598,3511,210,311,48,210.0,0.0,2598.0,2.0,70.0,6.0,0.0,1
9,0,0,1,80,129,211,312,48,9.0,0.0,80.0,2.0,70.0,3.0,0.0,1
35,0,11,8,366,532,212,313,48,35.0,0.0,366.0,2.0,70.0,9.0,0.0,1
1,0,1,60,272,432,169,314,42,1.0,0.0,272.0,2.0,70.0,4.0,0.0,0
9,0,2,11,184,259,170,315,42,9.0,0.0,184.0,2.0,70.0,9.0,0.0,0
8,0,1,5,754,1032,171,316,42,8.0,0.0,754.0,2.0,70.0,4.0,0.0,0
2,0,0,3,31,43,172,317,42,2.0,0.0,31.0,2.0,590.0,3.0,0.0,0
4,0,0,22,477,653,173,318,42,4.0,0.0,477.0,2.0,70.0,3.0,0.0,0
1,0,0,10,388,482,174,319,42,1.0,0.0,388.0,2.0,70.0,7.0,0.0,0
16,0,1,2,89,129,175,320,42,16.0,0.0,89.0,2.0,70.0,3.0,0.0,0
14,0,0,6,106,167,176,321,42,14.0,0.0,106.0,2.0,70.0,4.0,0.0,0
1,0,0,7,349,470,178,322,42,1.0,0.0,349.0,2.0,70.0,4.0,0.0,0
5,0,0,6,190,253,177,323,42,5.0,0.0,190.0,2.0,70.0,3.0,0.0,0
5,0,0,10,489,620,179,324,42,5.0,0.0,489.0,2.0,70.0,4.0,0.0,0
6,0,0,2,50,71,220,325,50,6.0,0.0,50.0,2.0,70.0,4.0,0.0,0
1,0,10,2,176,305,213,326,49,1.0,0.0,176.0,1.0,70.0,1.0,0.0,0
1,0,0,2,70,111,214,327,49,1.0,0.0,70.0,1.0,70.0,1.0,0.0,0
15,0,0,4,94,138,215,328,49,15.0,0.0,94.0,2.0,70.0,7.0,0.0,0
1,0,0,6,102,163,216,329,49,1.0,0.0,102.0,2.0,70.0,4.0,0.0,0
14,0,1,8,330,429,217,330,49,14.0,0.0,330.0,2.0,70.0,5.0,0.0,0
5,0,1,19,579,822,218,331,49,5.0,0.0,579.0,2.0,70.0,5.0,0.0,0
1,0,4,2,107,201,219,332,49,1.0,0.0,107.0,1.0,70.0,1.0,0.0,0
5,0,0,17,119,174,221,333,51,5.0,0.0,119.0,3.0,70.0,6.0,0.0,0
4,0,0,3,119,169,222,334,51,4.0,0.0,119.0,1.0,70.0,1.0,0.0,0
5,0,1,6,53,96,223,335,51,5.0,0.0,53.0,1.0,70.0,1.0,0.0,0
10,0,1,7,80,120,225,336,53,10.0,0.0,80.0,1.0,70.0,1.0,0.0,0
1,0,0,3,13,42,226,337,53,1.0,0.0,13.0,3.0,70.0,5.0,0.0,0
1,0,0,4,44,78,224,338,52,1.0,0.0,44.0,1.0,70.0,1.0,0.0,0
1,0,0,2,8,34,262,339,74,1.0,0.0,8.0,1.0,70.0,1.0,0.0,0
1,0,1,2,9,48,263,340,74,1.0,0.0,9.0,1.0,70.0,1.0,0.0,0
2,0,1,1,17,47,264,341,74,2.0,0.0,17.0,1.0,70.0,1.0,0.0,0
1,0,1,2,10,43,265,342,74,1.0,0.0,10.0,1.0,70.0,1.0,0.0,0
4,0,1,1,21,52,267,343,76,4.0,0.0,21.0,1.0,70.0,1.0,0.0,0
3,0,0,3,25,53,268,344,76,3.0,0.0,25.0,1.0,70.0,1.0,0.0,0
2,0,2,0,16,49,269,345,76,2.0,0.0,16.0,1.0,70.0,1.0,0.0,0
4,0,0,2,17,46,270,346,76,4.0,0.0,17.0,1.0,70.0,1.0,0.0,0
10,0,0,2,45,84,271,347,76,10.0,0.0,45.0,1.0,70.0,1.0,0.0,0
1,0,1,1,13,48,272,348,76,1.0,0.0,13.0,1.0,70.0,1.0,0.0,0
4,0,0,6,120,154,274,349,78,4.0,0.0,120.0,1.0,70.0,2.0,0.0,0
6,0,1,3,85,147,275,350,78,6.0,0.0,85.0,1.0,70.0,1.0,0.0,0
11,0,0,2,120,163,276,351,79,11.0,0.0,120.0,1.0,70.0,2.0,0.0,0
5,0,0,3,144,194,277,352,79,5.0,0.0,144.0,1.0,70.0,1.0,0.0,0
4,0,0,3,69,108,278,353,79,4.0,0.0,69.0,1.0,70.0,1.0,0.0,0
1,0,1,2,31,63,279,354,80,1.0,0.0,31.0,1.0,70.0,1.0,0.0,0
3,0,0,2,51,92,266,355,75,3.0,0.0,51.0,1.0,70.0,1.0,0.0,0
1,0,0,4,56,96,273,356,77,1.0,0.0,56.0,1.0,70.0,1.0,0.0,0
6,0,0,5,93,141,401,357,102,6.0,0.0,93.0,2.0,70.0,4.0,0.0,0
1,0,2,0,7,39,227,358,54,1.0,0.0,7.0,1.0,70.0,1.0,0.0,0
1,0,6,0,9,73,229,359,54,1.0,0.0,9.0,2.0,590.0,4.0,0.0,0
1,0,0,0,1,26,228,360,54,1.0,0.0,1.0,1.0,70.0,1.0,0.0,0
66,0,47,1,619,1155,230,361,55,66.0,0.0,619.0,3.0,590.0,15.0,0.0,0
1,0,23,2,123,311,231,362,55,1.0,0.0,123.0,3.0,70.0,5.0,0.0,0
1,0,1,0,4,33,233,363,57,1.0,0.0,4.0,1.0,70.0,1.0,0.0,0
3,0,6,0,40,118,234,364,58,3.0,0.0,40.0,1.0,70.0,1.0,0.0,0
1,0,5,0,25,96,391,365,100,1.0,0.0,25.0,1.0,70.0,1.0,0.0,0
3,0,12,0,89,221,392,366,100,3.0,0.0,89.0,0.0,0.0,1.0,0.0,0
15,0,18,3,154,336,393,367,100,15.0,0.0,154.0,1.0,70.0,1.0,0.0,0
7,0,4,0,72,263,394,368,100,7.0,0.0,72.0,1.0,70.0,3.0,0.0,0
23,0,27,6,336,649,395,369,100,23.0,0.0,336.0,1.0,70.0,1.0,0.0,0
2,0,2,0,19,67,404,370,104,2.0,0.0,19.0,1.0,70.0,1.0,0.0,0
1,0,0,0,1,5,236,371,60,1.0,0.0,1.0,1.0,70.0,1.0,0.0,0
1,0,2,0,5,41,239,372,62,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0
1,0,15,0,25,114,240,373,62,1.0,0.0,25.0,2.0,70.0,6.0,0.0,0
1,0,17,1,30,167,241,374,62,1.0,0.0,30.0,1.0,70.0,1.0,0.0,0
14,0,9,1,70,153,242,375,62,14.0,0.0,70.0,1.0,70.0,1.0,0.0,0
1,0,6,0,36,159,245,376,65,1.0,0.0,36.0,1.0,70.0,1.0,0.0,0
25,0,12,13,244,410,246,377,67,25.0,0.0,244.0,1.0,70.0,2.0,0.0,0
1,0,5,0,16,93,251,378,70,1.0,0.0,16.0,3.0,70.0,5.0,0.0,0
1,0,4,0,8,74,252,379,71,1.0,0.0,8.0,1.0,70.0,1.0,0.0,0
3,0,3,0,19,58,253,380,71,3.0,0.0,19.0,1.0,70.0,1.0,0.0,0
1,0,14,0,20,116,254,381,72,1.0,0.0,20.0,2.0,70.0,8.0,0.0,0
1,0,4,0,12,66,255,382,72,1.0,0.0,12.0,1.0,70.0,1.0,0.0,0
1,0,9,0,13,80,256,383,72,1.0,0.0,13.0,2.0,70.0,8.0,0.0,0
2,0,4,0,20,84,257,384,72,2.0,0.0,20.0,1.0,70.0,1.0,0.0,0
1,0,7,0,16,93,258,385,73,1.0,0.0,16.0,2.0,590.0,4.0,0.0,0
74,0,2,6,549,736,259,386,73,74.0,0.0,549.0,2.0,590.0,4.0,0.0,0
5,0,4,2,30,74,260,387,73,5.0,0.0,30.0,2.0,590.0,4.0,0.0,0
1,0,12,0,46,128,261,388,73,1.0,0.0,46.0,2.0,590.0,4.0,0.0,0
2,0,0,15,154,206,232,389,56,2.0,0.0,154.0,2.0,590.0,8.0,0.0,0
5,0,0,4,67,104,235,390,59,5.0,0.0,67.0,1.0,70.0,1.0,0.0,0
1,0,0,3,38,74,396,391,101,1.0,0.0,38.0,1.0,70.0,1.0,0.0,0
2,0,0,6,148,203,397,392,101,2.0,0.0,148.0,1.0,70.0,1.0,0.0,0
15,0,0,15,367,468,398,393,101,15.0,0.0,367.0,3.0,70.0,5.0,0.0,0
1,0,0,6,118,179,399,394,101,1.0,0.0,118.0,1.0,70.0,1.0,0.0,0
4,0,0,14,175,241,400,395,101,4.0,0.0,175.0,1.0,70.0,1.0,0.0,0
1,0,0,4,13,42,405,396,105,1.0,0.0,13.0,1.0,70.0,1.0,0.0,0
1,0,1,4,63,109,406,397,105,1.0,0.0,63.0,2.0,70.0,4.0,0.0,0
1,0,0,2,40,70,243,398,63,1.0,0.0,40.0,1.0,70.0,1.0,0.0,0
3,0,1,7,46,89,247,399,68,3.0,0.0,46.0,1.0,70.0,1.0,0.0,0
1,0,0,20,209,294,248,400,68,1.0,0.0,209.0,1.0,70.0,1.0,0.0,0
41,0,2,7,560,688,280,401,81,41.0,0.0,560.0,1.0,70.0,1.0,0.0,0
23,0,2,22,252,336,281,402,81,23.0,0.0,252.0,1.0,70.0,1.0,0.0,0
35,0,1,14,246,319,282,403,81,35.0,0.0,246.0,2.0,590.0,3.0,0.0,0
6,0,3,1,54,107,284,404,83,6.0,0.0,54.0,1.0,70.0,1.0,0.0,0
7,0,2,17,141,218,237,405,61,7.0,0.0,141.0,0.0,0.0,1.0,0.0,0
9,0,1,1,243,349,238,406,61,9.0,0.0,243.0,0.0,0.0,1.0,0.0,0
1,0,1,7,151,215,283,407,82,1.0,0.0,151.0,1.0,590.0,3.0,0.0,0
197,0,104,0,1011,1868,285,408,84,197.0,0.0,1011.0,1.0,70.0,1.0,0.0,1
1,0,2,1,88,135,288,409,87,1.0,0.0,88.0,1.0,70.0,1.0,0.0,0
13,0,2,10,330,433,286,410,85,13.0,0.0,330.0,3.0,70.0,8.0,0.0,0
3,0,0,6,241,339,287,411,86,3.0,0.0,241.0,3.0,70.0,8.0,0.0,0
1,0,0,18,226,344,244,412,64,1.0,0.0,226.0,2.0,70.0,11.0,0.0,0
