McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
4,0,0,3,25,46,414,400,76,4,0,25,15,13,0,7,0
4,0,0,4,27,53,415,401,76,4,0,27,15,20,0,8,0
1,0,1,1,22,51,416,402,76,1,0,22,2053,9,0,6,0
2,0,0,6,78,107,417,403,76,2,0,78,15,22,0,10,0
1,0,0,4,15,38,418,404,76,1,0,15,15,17,0,8,0
4,0,1,7,39,72,419,405,76,4,0,39,15,12,0,7,0
4,0,1,2,32,60,420,406,76,4,0,32,575,4,0,4,0
8,0,1,3,55,85,421,407,76,8,0,55,15,17,0,7,0
1,0,0,3,17,42,422,408,76,1,0,17,15,19,0,10,0
1,0,1,3,13,40,423,409,76,1,0,13,15,12,0,7,0
1,0,0,0,1,20,408,410,76,1,0,1,15,8,0,4,0
1,0,0,0,1,20,385,411,74,1,0,1,15,8,0,4,0
5,0,1,10,94,136,424,412,77,5,0,94,15,27,0,11,0
1,0,0,1,13,33,425,413,77,1,0,13,2899,1,0,1,0
5,0,0,3,22,43,426,414,77,5,0,22,15,15,0,5,0
2,0,0,2,20,42,427,415,77,2,0,20,2053,5,0,2,0
10,0,0,4,50,76,428,416,77,10,0,50,15,27,0,11,0
5,0,0,3,22,43,429,417,77,5,0,22,15,15,0,5,0
2,0,0,2,20,42,430,418,77,2,0,20,2899,1,0,1,0
12,0,0,4,69,96,431,419,77,12,0,69,288,33,0,11,0
37,0,1,5,122,166,432,420,77,37,0,122,15,22,0,8,0
2,0,0,2,20,42,433,421,77,2,0,20,2053,5,0,2,0
11,0,0,4,90,120,434,422,77,11,0,90,15,33,4,14,0
4,0,0,10,60,91,436,423,77,4,0,60,15,22,0,8,0
1,0,0,0,1,20,435,424,77,1,0,1,15,8,0,4,0
1,0,0,1,15,38,155,425,34,1,0,15,288,12,0,7,0
1,0,0,3,10,31,156,426,34,1,0,10,288,11,0,5,0
16,0,0,14,161,205,157,427,34,16,0,161,288,48,4,9,1
1,0,0,7,36,66,158,428,34,1,0,36,15,16,0,11,0
2,0,0,1,15,35,159,429,34,2,0,15,288,19,0,7,0
1,0,0,10,50,81,160,430,34,1,0,50,288,9,0,7,0
2,0,0,3,27,50,161,431,34,2,0,27,288,15,0,8,0
1,0,0,10,51,82,162,432,34,1,0,51,288,9,0,7,0
3,0,0,5,48,76,163,433,34,3,0,48,288,27,0,8,1
22,0,0,18,205,252,164,434,34,22,0,205,15,107,1,13,1
1,0,0,17,31,67,165,435,34,1,0,31,288,40,3,7,0
52,0,1,28,495,593,166,436,34,52,0,495,1147,114,5,11,1
1,0,0,0,4,23,167,437,34,1,0,4,288,11,0,5,0
2,0,0,0,14,36,168,438,34,2,0,14,288,14,0,6,0
13,0,0,2,39,59,169,439,34,13,0,39,288,22,3,7,0
1,0,1,3,34,62,170,440,34,1,0,34,288,24,3,8,0
10,0,0,12,70,105,171,441,34,10,0,70,288,10,0,7,0
2,0,0,7,49,78,172,442,34,2,0,49,288,23,3,7,1
1,0,2,11,58,107,193,443,34,1,0,58,15,31,1,9,0
1,0,0,12,59,91,208,444,34,1,0,59,288,15,0,9,1
1,0,0,0,23,48,209,445,34,1,0,23,288,16,0,8,0
1,0,0,1,10,30,210,446,34,1,0,10,288,14,0,6,0
10,0,0,9,62,97,211,447,34,10,0,62,288,18,3,7,0
2,0,0,7,49,78,212,448,34,2,0,49,288,16,0,7,1
1,0,0,0,12,32,215,449,34,1,0,12,288,17,0,8,0
1,0,0,13,64,97,216,450,34,1,0,64,288,22,3,9,0
2,0,0,5,40,65,217,451,34,2,0,40,288,20,3,7,0
1,0,0,1,17,40,228,452,34,1,0,17,288,11,0,6,0
1,0,0,0,7,26,229,453,34,1,0,7,288,11,0,5,0
2,0,0,1,14,37,242,454,34,2,0,14,288,22,0,7,0
1,0,0,2,17,41,243,455,34,1,0,17,288,12,0,7,0
6,0,0,2,73,112,244,456,34,6,0,73,288,32,4,7,0
1,0,0,6,32,58,245,457,34,1,0,32,288,10,0,7,0
1,0,0,1,43,73,269,458,34,1,0,43,288,37,1,8,1
2,0,1,7,34,67,270,459,34,2,0,34,15,22,0,11,0
1,0,0,1,3,21,271,460,34,1,0,3,288,11,0,7,0
1,0,0,2,5,25,272,461,34,1,0,5,288,8,0,7,0
1,0,0,2,28,52,273,462,34,1,0,28,288,26,0,7,0
1,0,0,0,1,20,268,463,34,1,0,1,288,4,0,4,0
1,0,0,7,38,66,2072,464,201,1,0,38,288,18,0,8,0
7,0,0,4,47,72,2073,465,201,7,0,47,288,21,0,8,0
2,0,0,10,58,88,2074,466,201,2,0,58,288,37,0,8,0
4,0,0,10,80,111,2075,467,201,4,0,80,288,35,0,8,0
1,0,0,6,36,62,2077,468,201,1,0,36,288,15,0,8,0
9,0,0,7,99,130,2078,469,201,9,0,99,288,15,0,8,0
1,0,0,10,56,86,2079,470,201,1,0,56,288,17,0,8,0
1,0,0,7,32,58,2080,471,201,1,0,32,288,30,0,7,0
1,0,0,0,1,20,2076,472,201,1,0,1,288,4,0,4,0
1,0,0,0,12,33,107,473,32,1,0,12,791,15,0,7,0
38,0,0,8,236,275,108,474,32,38,0,236,1147,66,2,11,1
1,0,0,2,15,35,109,475,32,1,0,15,791,20,0,6,1
3,0,0,6,44,72,110,476,32,3,0,44,1733,14,0,7,0
3,0,0,5,52,79,111,477,32,3,0,52,791,21,0,7,0
7,0,0,3,45,70,112,478,32,7,0,45,791,24,0,6,0
1,0,0,7,31,58,113,479,32,1,0,31,791,19,0,7,0
1,0,0,10,17,46,114,480,32,1,0,17,791,162,2,9,0
189,0,1,33,1028,1163,115,481,32,189,0,1028,791,173,4,12,1
15,0,0,12,91,127,116,482,32,15,0,91,791,8,0,6,1
15,0,0,4,87,120,117,483,32,15,0,87,1147,49,0,9,1
1,0,0,4,16,39,118,484,32,1,0,16,791,26,0,7,0
6,0,0,6,49,78,119,485,32,6,0,49,791,33,0,8,0
1,0,0,12,74,106,121,486,32,1,0,74,791,14,0,7,0
1,0,1,0,4,27,122,487,32,1,0,4,791,14,0,5,0
4,0,0,10,76,106,123,488,32,4,0,76,791,60,0,9,0
1,0,0,6,37,65,124,489,32,1,0,37,791,10,0,5,1
1,0,0,7,11,37,120,490,32,1,0,11,753,8,0,5,1
4,0,0,2,29,50,125,491,32,4,0,29,791,27,0,7,0
3,0,0,4,40,67,126,492,32,3,0,40,791,15,0,7,0
3,0,1,2,19,47,127,493,32,3,0,19,791,7,0,5,0
15,0,0,11,99,129,128,494,32,15,0,99,791,25,0,7,0
8,0,0,6,75,106,129,495,32,8,0,75,791,38,0,9,0
5,0,0,4,36,62,130,496,32,5,0,36,791,33,0,9,0
3,0,0,4,43,69,131,497,32,3,0,43,791,22,0,7,0
34,0,0,6,167,206,132,498,32,34,0,167,791,57,0,10,1
1,0,0,2,4,22,133,499,32,1,0,4,2899,1,0,1,0
21,0,0,7,155,189,134,500,32,21,0,155,791,47,0,11,0
23,0,0,3,120,162,135,501,32,23,0,120,791,25,0,8,1
14,0,0,8,86,117,137,502,32,14,0,86,1147,54,0,9,0
3,0,0,6,50,78,138,503,32,3,0,50,791,10,0,5,0
1,0,0,6,35,63,139,504,32,1,0,35,1733,27,0,7,1
7,0,0,0,27,51,140,505,32,7,0,27,791,13,0,6,0
97,0,0,10,437,488,141,506,32,97,0,437,15,74,0,11,1
5,0,0,7,75,106,150,507,35,5,0,75,791,39,0,8,0
3,0,3,8,66,119,151,508,35,3,0,66,791,19,0,7,0
1,0,0,6,22,47,152,509,35,1,0,22,288,17,0,8,0
3,0,0,9,52,82,153,510,35,3,0,52,791,12,1,7,0
1,0,0,0,1,21,154,511,35,1,0,1,791,2,0,2,0
1,0,0,0,1,21,136,512,32,1,0,1,791,2,0,2,0
13,0,0,18,179,222,437,513,78,13,0,179,1147,16,0,7,1
3,0,0,7,52,82,438,514,78,3,0,52,1147,12,0,7,0
7,0,0,9,72,104,439,515,78,7,0,72,1147,21,0,7,0
1,0,0,7,44,73,440,516,78,1,0,44,1147,11,0,7,0
3,0,0,9,56,86,441,517,78,3,0,56,1147,19,0,7,0
1,0,0,3,17,40,442,518,78,1,0,17,1147,13,0,7,0
3,0,0,7,47,75,443,519,78,3,0,47,1147,12,0,7,0
3,0,0,9,38,66,444,520,78,3,0,38,1147,19,0,7,0
4,0,0,9,69,99,445,521,78,4,0,69,1147,19,0,7,0
42,0,1,19,287,357,446,522,78,42,0,287,1147,130,0,12,1
3,0,0,7,49,77,447,523,78,3,0,49,1147,11,0,7,0
1,0,0,3,262,296,448,524,78,1,0,262,1147,47,0,8,0
1,0,0,7,46,75,449,525,78,1,0,46,1147,18,0,9,0
1,0,0,9,37,65,450,526,78,1,0,37,1147,15,0,8,1
1,0,0,7,26,51,451,527,78,1,0,26,1147,10,0,7,0
8,0,0,14,78,116,452,528,78,8,0,78,1147,27,0,10,0
7,0,0,5,84,118,453,529,78,7,0,84,1147,27,0,10,0
1,0,0,4,185,216,454,530,78,1,0,185,1147,38,0,8,0
1,0,0,7,38,66,455,531,78,1,0,38,1147,13,0,7,0
3,0,0,9,58,88,456,532,78,3,0,58,1147,19,0,7,0
3,0,0,5,38,64,457,533,78,3,0,38,1147,13,0,7,0
10,0,0,16,123,161,458,534,78,10,0,123,1147,173,2,11,1
1,0,0,7,22,46,459,535,78,1,0,22,1147,12,0,7,0
1,0,0,7,37,65,460,536,78,1,0,37,1147,9,0,7,0
7,0,0,13,76,113,462,537,78,7,0,76,1147,18,0,9,0
3,0,0,7,53,80,466,538,80,3,0,53,1147,15,0,8,0
4,0,1,10,98,136,467,539,80,4,0,98,15,26,0,10,1
1,0,0,7,39,66,468,540,80,1,0,39,1147,15,0,8,0
1,0,0,5,24,48,469,541,80,1,0,24,1147,17,0,9,0
3,0,0,7,57,85,470,542,80,3,0,57,1147,15,0,8,0
3,0,0,8,58,86,471,543,80,3,0,58,1147,16,0,8,0
1,0,0,5,24,48,472,544,80,1,0,24,1147,14,0,8,0
1,0,0,10,45,74,473,545,80,1,0,45,1147,16,0,9,0
1,0,0,7,39,66,474,546,80,1,0,39,1147,15,0,8,0
3,0,0,10,57,88,475,547,80,3,0,57,1147,21,0,9,0
1,0,0,5,24,48,476,548,80,1,0,24,1147,14,0,8,0
1,0,0,6,34,60,477,549,80,1,0,34,1147,12,0,7,0
1,0,0,6,33,59,478,550,80,1,0,33,1147,12,0,7,0
1,0,0,7,37,64,479,551,80,1,0,37,1147,16,0,8,0
1,0,0,7,43,71,480,552,80,1,0,43,1147,18,0,8,0
1,0,0,7,37,64,481,553,80,1,0,37,1147,15,0,8,0
1,0,0,7,43,71,482,554,80,1,0,43,1147,16,0,8,0
1,0,0,7,41,68,483,555,80,1,0,41,1147,16,0,8,0
1,0,0,7,37,64,485,556,80,1,0,37,1147,16,0,8,0
1,0,0,7,30,55,486,557,80,1,0,30,1147,18,0,9,0
1,0,0,7,30,55,487,558,80,1,0,30,1147,18,0,9,0
1,0,0,7,29,54,488,559,80,1,0,29,1147,19,0,9,0
1,0,0,7,30,55,489,560,80,1,0,30,1147,18,0,9,0
1,0,0,7,30,55,490,561,80,1,0,30,1147,18,0,9,0
1,0,0,7,29,54,491,562,80,1,0,29,1147,19,0,9,0
1,0,0,0,1,21,484,563,80,1,0,1,1147,3,0,3,0
2,0,0,5,40,66,492,564,81,2,0,40,1147,13,0,7,0
3,0,0,6,50,77,493,565,81,3,0,50,1147,14,0,7,0
22,0,0,5,138,174,494,566,81,22,0,138,1147,47,0,10,0
1,0,0,7,41,69,495,567,81,1,0,41,1147,11,0,7,0
1,0,0,7,45,74,496,568,81,1,0,45,1147,12,0,7,0
3,0,0,15,111,148,497,569,81,3,0,111,1147,32,0,7,0
1,0,0,9,56,86,498,570,81,1,0,56,1147,19,0,7,0
2,0,0,4,30,53,499,571,81,2,0,30,1147,9,0,7,0
4,0,0,8,54,82,500,572,81,4,0,54,1147,20,0,7,0
1,0,0,7,50,78,501,573,81,1,0,50,1147,11,0,7,0
1,0,0,9,64,94,502,574,81,1,0,64,1147,21,0,7,0
1,0,0,7,47,75,503,575,81,1,0,47,1147,11,0,7,0
1,0,0,0,1,21,504,576,81,1,0,1,1147,3,0,3,0
1,0,0,0,1,21,461,577,78,1,0,1,1147,3,0,3,0
12,0,0,4,80,108,506,578,82,12,0,80,1147,27,0,7,0
1,0,0,3,18,41,507,579,82,1,0,18,1147,17,0,7,0
2,0,0,4,30,53,508,580,82,2,0,30,1147,9,0,7,0
4,0,0,8,54,82,509,581,82,4,0,54,1147,20,0,7,0
1,0,0,0,1,21,505,582,82,1,0,1,1147,3,0,3,0
13,0,0,6,129,157,510,583,83,13,0,129,1147,21,0,8,0
2,0,0,7,52,82,511,584,83,2,0,52,1147,11,0,7,0
1,0,0,9,56,87,512,585,83,1,0,56,1147,11,0,7,0
1,0,0,7,44,74,513,586,83,1,0,44,1147,17,0,8,0
1,0,0,7,49,77,514,587,83,1,0,49,1147,11,0,7,0
2,0,0,7,48,77,515,588,83,2,0,48,1147,11,0,7,0
2,0,0,9,56,87,516,589,83,2,0,56,1147,10,0,7,0
4,0,0,9,82,112,517,590,83,4,0,82,1147,14,0,7,0
1,0,0,7,47,76,518,591,83,1,0,47,1147,10,0,7,0
1,0,0,9,57,88,519,592,83,1,0,57,1147,11,0,7,0
1,0,0,7,40,68,520,593,83,1,0,40,1147,10,0,7,0
2,0,0,9,55,86,521,594,83,2,0,55,1147,16,0,7,0
6,0,0,0,38,65,525,595,83,6,0,38,1147,10,0,7,0
1,0,0,3,23,46,523,596,83,1,0,23,1147,10,0,7,0
5,0,0,4,55,80,524,597,83,5,0,55,1147,14,0,8,0
1,0,0,0,1,21,522,598,83,1,0,1,1147,3,0,3,0
14,0,0,3,76,99,526,599,84,14,0,76,2053,20,0,9,0
2,0,0,32,171,229,527,600,84,2,0,171,8,11,0,8,0
9,0,1,14,107,150,528,601,84,9,0,107,288,60,0,10,0
2,0,0,7,31,56,529,602,84,2,0,31,8,7,0,5,0
1,0,0,8,63,95,533,603,86,1,0,63,288,24,0,8,0
1,0,0,4,18,42,534,604,86,1,0,18,8,16,0,9,0
1,0,0,4,19,42,535,605,86,1,0,19,8,9,0,5,0
1,0,0,4,19,42,536,606,86,1,0,19,8,9,0,5,0
1,0,0,6,44,73,537,607,86,1,0,44,8,18,0,7,0
10,0,0,4,57,82,538,608,86,10,0,57,8,4,0,4,0
1,0,0,6,51,80,539,609,86,1,0,51,288,27,0,10,0
1,0,0,6,33,60,540,610,86,1,0,33,8,21,0,9,0
3,0,0,5,32,57,541,611,86,3,0,32,8,20,0,9,0
1,0,0,4,19,43,542,612,86,1,0,19,8,9,0,5,0
1,0,0,4,18,41,543,613,86,1,0,18,8,16,0,9,0
1,0,0,8,48,77,545,614,86,1,0,48,288,18,0,8,0
1,0,0,4,18,41,546,615,86,1,0,18,8,16,0,9,0
1,0,0,0,1,26,544,616,86,1,0,1,8,4,0,4,0
1,0,0,5,35,62,547,617,87,1,0,35,8,4,0,4,0
1,0,0,7,44,73,548,618,87,1,0,44,2053,7,0,4,0
1,0,0,5,35,62,549,619,87,1,0,35,2053,7,0,4,0
2,0,0,5,27,52,550,620,87,2,0,27,2053,7,0,4,0
2,0,0,5,26,51,551,621,87,2,0,26,2053,7,0,4,0
1,0,0,6,40,69,552,622,87,1,0,40,2053,7,0,4,0
1,0,0,6,23,48,553,623,87,1,0,23,8,4,0,4,0
1,0,0,9,49,80,554,624,87,1,0,49,2053,7,0,4,0
4,0,0,7,60,89,555,625,87,4,0,60,2053,7,0,4,0
1,0,0,7,48,78,556,626,87,1,0,48,2053,7,0,4,0
1,0,0,7,43,73,557,627,87,1,0,43,2053,7,0,4,0
2,0,0,5,27,51,558,628,87,2,0,27,2053,7,0,4,0
1,0,0,7,44,73,559,629,87,1,0,44,2053,7,0,4,0
1,0,0,6,24,49,560,630,87,1,0,24,2053,7,0,4,0
1,0,0,5,35,62,562,631,87,1,0,35,2053,7,0,4,0
1,0,0,6,39,67,563,632,87,1,0,39,2053,7,0,4,0
1,0,0,0,1,23,561,633,87,1,0,1,8,4,0,4,0
1,0,0,0,1,24,530,634,84,1,0,1,8,4,0,4,0
14,0,0,3,76,99,564,635,88,14,0,76,2053,10,0,5,0
2,0,0,30,174,229,565,636,88,2,0,174,8,4,0,4,0
9,0,1,14,111,154,566,637,88,9,0,111,288,18,0,7,0
3,0,0,7,32,58,568,638,88,3,0,32,429,3,0,3,0
1,0,0,8,54,83,572,639,90,1,0,54,288,18,0,8,0
1,0,0,4,19,42,573,640,90,1,0,19,8,7,0,5,0
1,0,0,4,19,42,574,641,90,1,0,19,8,7,0,5,0
1,0,0,6,40,69,575,642,90,1,0,40,8,12,0,7,0
11,0,0,4,57,82,576,643,90,11,0,57,8,4,0,4,0
1,0,0,6,40,68,577,644,90,1,0,40,8,12,0,7,0
1,0,0,6,40,68,578,645,90,1,0,40,8,12,0,7,0
1,0,0,4,19,43,579,646,90,1,0,19,8,7,0,5,0
1,0,0,4,19,42,580,647,90,1,0,19,8,7,0,5,0
1,0,0,4,18,41,581,648,90,1,0,18,8,7,0,5,0
1,0,0,4,18,41,582,649,90,1,0,18,8,7,0,5,0
1,0,0,8,57,87,583,650,90,1,0,57,288,18,0,8,0
1,0,0,8,47,76,585,651,90,1,0,47,288,18,0,8,0
1,0,0,4,19,42,586,652,90,1,0,19,8,7,0,5,0
1,0,0,0,1,26,584,653,90,1,0,1,8,4,0,4,0
3,0,0,5,45,75,587,654,91,3,0,45,8,4,0,4,0
2,0,0,5,31,57,588,655,91,2,0,31,2053,7,0,4,1
2,0,0,5,30,56,589,656,91,2,0,30,2053,7,0,4,0
1,0,0,6,47,77,590,657,91,1,0,47,2053,7,0,4,0
1,0,0,6,23,49,591,658,91,1,0,23,2053,7,0,4,0
1,0,0,9,50,81,592,659,91,1,0,50,2053,7,0,4,0
4,0,0,7,61,91,593,660,91,4,0,61,2053,7,0,4,0
1,0,0,8,54,85,594,661,91,1,0,54,2053,7,0,4,0
1,0,0,6,40,68,595,662,91,1,0,40,2053,7,0,4,0
2,0,0,5,31,56,596,663,91,2,0,31,2053,7,0,4,0
1,0,0,7,45,75,597,664,91,1,0,45,2053,7,0,4,0
1,0,0,6,23,48,598,665,91,1,0,23,2053,7,0,4,0
1,0,0,6,25,50,599,666,91,1,0,25,2053,7,0,4,0
1,0,0,7,46,75,601,667,91,1,0,46,2053,7,0,4,0
1,0,0,5,36,63,602,668,91,1,0,36,2053,7,0,4,0
1,0,0,7,44,73,603,669,91,1,0,44,2053,7,0,4,0
1,0,0,0,1,23,600,670,91,1,0,1,8,4,0,4,0
1,0,0,0,1,24,567,671,88,1,0,1,8,4,0,4,0
7,0,0,3,48,71,604,672,92,7,0,48,8,21,0,10,0
4,0,0,11,55,86,605,673,92,4,0,55,8,13,0,8,0
3,0,0,9,77,109,606,674,92,3,0,77,8,44,0,9,0
17,0,1,18,144,191,607,675,92,17,0,144,8,43,0,9,0
1,0,0,2,7,27,608,676,92,1,0,7,8,14,0,7,0
1,0,0,9,57,88,611,677,94,1,0,57,8,22,0,9,0
5,0,0,4,42,67,612,678,94,5,0,42,8,4,0,4,0
1,0,0,9,53,84,613,679,94,1,0,53,8,22,0,9,0
1,0,0,9,55,86,614,680,94,1,0,55,8,23,0,9,0
1,0,0,9,58,89,616,681,94,1,0,58,8,21,0,9,0
1,0,0,0,1,26,615,682,94,1,0,1,8,4,0,4,0
1,0,0,10,41,69,619,683,96,1,0,41,288,12,0,7,0
2,0,0,0,28,52,620,684,96,2,0,28,8,4,0,4,0
1,0,0,0,25,49,621,685,96,1,0,25,8,4,0,4,0
1,0,0,8,48,78,622,686,96,1,0,48,8,4,0,4,0
8,0,0,6,60,89,623,687,96,8,0,60,8,4,0,4,0
1,0,0,9,41,69,624,688,96,1,0,41,8,4,0,4,0
1,0,0,7,29,55,625,689,96,1,0,29,8,4,0,4,0
1,0,0,8,47,77,627,690,96,1,0,47,8,4,0,4,0
1,0,0,0,1,23,626,691,96,1,0,1,8,4,0,4,0
1,0,0,0,1,24,609,692,92,1,0,1,8,4,0,4,0
5,0,0,6,64,96,630,693,97,5,0,64,8,38,3,10,0
1,0,0,7,38,67,631,694,97,1,0,38,8,22,0,9,0
1,0,0,0,1,27,632,695,97,1,0,1,8,4,0,4,0
3,0,0,0,96,131,637,696,99,3,0,96,831,20,0,7,0
14,0,0,0,98,136,638,697,99,14,0,98,831,26,0,9,0
10,0,0,8,50,80,639,698,99,10,0,50,831,19,0,7,0
4,0,0,9,43,74,640,699,99,4,0,43,831,23,0,7,0
15,0,0,3,80,104,641,700,99,15,0,80,791,20,0,8,0
6,0,0,3,67,98,642,701,99,6,0,67,2899,32,0,7,1
4,0,1,21,121,168,643,702,99,4,0,121,1147,38,4,9,1
5,0,0,13,89,126,644,703,99,5,0,89,831,32,0,7,1
1,0,0,10,13,41,645,704,99,1,0,13,1733,14,0,6,1
55,0,0,0,350,426,646,705,99,55,0,350,831,28,0,9,1
1,0,0,5,13,38,647,706,99,1,0,13,1733,78,0,8,0
18,0,0,22,230,288,648,707,99,18,0,230,831,34,0,6,1
1,0,0,13,17,49,649,708,99,1,0,17,1733,49,0,8,1
5,0,0,4,61,90,650,709,99,5,0,61,831,44,0,8,0
23,0,0,34,267,328,651,710,99,23,0,267,831,63,0,9,1
1,0,0,3,5,25,652,711,99,1,0,5,1733,13,0,7,0
1,0,0,14,75,110,653,712,99,1,0,75,1733,30,0,8,1
6,0,0,7,50,79,654,713,99,6,0,50,831,25,0,7,0
1,0,0,6,54,85,661,714,101,1,0,54,288,41,0,9,0
1,0,0,7,66,99,662,715,101,1,0,66,831,32,0,8,0
1,0,0,6,62,93,663,716,101,1,0,62,831,31,0,8,0
1,0,0,9,78,94,664,717,101,1,0,78,288,9,0,6,0
1,0,0,9,74,89,665,718,101,1,0,74,288,6,0,4,0
1,0,0,9,61,92,666,719,101,1,0,61,288,24,0,7,0
1,0,0,9,59,90,667,720,101,1,0,59,288,24,0,7,0
1,0,0,7,36,63,668,721,101,1,0,36,831,31,0,8,0
9,0,0,4,53,78,669,722,101,9,0,53,288,12,0,7,0
1,0,0,6,31,57,670,723,101,1,0,31,831,27,0,8,1
1,0,0,9,78,94,672,724,101,1,0,78,288,9,0,6,0
1,0,0,7,34,61,673,725,101,1,0,34,831,28,0,8,0
1,0,0,0,1,25,671,726,101,1,0,1,831,3,0,3,0
1,0,0,5,48,75,678,727,103,1,0,48,2053,6,0,3,0
8,0,0,11,97,136,679,728,103,8,0,97,2053,19,0,7,1
3,0,0,0,97,133,680,729,103,3,0,97,2053,15,0,6,0
4,0,0,0,52,78,681,730,103,4,0,52,831,4,0,3,0
1,0,0,5,44,71,682,731,103,1,0,44,2053,6,0,3,0
2,0,0,10,70,103,683,732,103,2,0,70,2053,6,0,3,0
1,0,0,5,21,44,684,733,103,1,0,21,2053,6,0,3,0
1,0,0,5,21,44,685,734,103,1,0,21,2053,6,0,3,0
2,0,0,6,28,52,686,735,103,2,0,28,2053,6,0,3,0
1,0,0,5,37,64,687,736,103,1,0,37,2053,6,0,3,0
4,0,0,11,55,84,688,737,103,4,0,55,2053,14,0,6,0
8,0,0,8,74,105,689,738,103,8,0,74,2053,6,0,3,0
1,0,0,4,16,38,691,739,103,1,0,16,2053,6,0,3,0
2,0,0,7,38,64,692,740,103,2,0,38,2053,6,0,3,0
2,0,0,5,47,74,693,741,103,2,0,47,2053,7,0,3,0
5,0,0,11,98,134,694,742,103,5,0,98,1147,10,0,5,1
1,0,0,0,1,24,690,743,103,1,0,1,831,3,0,3,0
1,0,0,0,1,28,655,744,99,1,0,1,831,3,0,3,0
15,0,0,19,158,201,696,745,104,15,0,158,831,32,4,7,0
15,0,0,3,80,103,697,746,104,15,0,80,831,23,0,9,0
5,0,0,17,130,170,698,747,104,5,0,130,831,37,0,8,0
11,0,1,18,151,200,699,748,104,11,0,151,791,81,0,9,0
5,0,0,4,33,59,700,749,104,5,0,33,831,14,0,6,0
1,0,0,7,40,68,704,750,106,1,0,40,831,20,0,8,0
1,0,0,5,26,51,705,751,106,1,0,26,831,21,0,8,0
1,0,0,5,25,50,706,752,106,1,0,25,831,19,0,8,0
1,0,0,5,25,50,707,753,106,1,0,25,831,18,0,8,0
1,0,0,5,25,50,709,754,106,1,0,25,831,18,0,8,0
1,0,0,5,25,50,710,755,106,1,0,25,831,18,0,8,0
7,0,0,4,48,72,711,756,106,7,0,48,831,3,0,3,0
1,0,0,5,45,73,712,757,106,1,0,45,288,27,0,9,0
1,0,0,0,1,23,708,758,106,1,0,1,831,3,0,3,0
1,0,0,6,26,50,713,759,107,1,0,26,831,4,0,3,0
2,0,0,11,53,82,714,760,107,2,0,53,288,11,0,5,0
1,0,0,6,22,46,715,761,107,1,0,22,831,3,0,3,0
1,0,0,6,26,50,716,762,107,1,0,26,831,3,0,3,0
1,0,0,6,25,49,717,763,107,1,0,25,831,3,0,3,0
1,0,0,8,33,59,718,764,107,1,0,33,831,3,0,3,0
1,0,0,6,25,49,719,765,107,1,0,25,831,3,0,3,0
1,0,0,8,33,59,720,766,107,1,0,33,831,3,0,3,0
1,0,0,6,25,49,722,767,107,1,0,25,831,3,0,3,0
1,0,0,8,33,59,723,768,107,1,0,33,831,3,0,3,0
1,0,0,6,25,49,724,769,107,1,0,25,831,3,0,3,0
1,0,0,10,45,73,725,770,107,1,0,45,831,3,0,3,0
1,0,0,3,20,43,726,771,107,1,0,20,831,3,0,3,0
1,0,0,3,24,49,727,772,107,1,0,24,831,3,0,3,0
1,0,0,13,64,97,728,773,107,1,0,64,831,3,0,3,0
1,0,0,5,37,64,729,774,107,1,0,37,831,3,0,3,0
4,0,0,6,56,84,730,775,107,4,0,56,831,3,0,3,0
1,0,0,0,1,23,721,776,107,1,0,1,831,3,0,3,0
1,0,0,0,1,28,695,777,104,1,0,1,831,3,0,3,0
55,0,0,9,272,328,731,778,108,55,0,272,1733,23,1,9,0
2,0,19,1,92,267,732,779,108,2,0,92,2899,22,0,6,0
5,0,5,0,35,104,733,780,108,5,0,35,2899,21,0,7,0
3,0,0,16,76,114,734,781,108,3,0,76,2899,15,0,3,0
55,0,17,80,630,864,735,782,108,55,0,630,15,178,1,14,1
1,0,2,0,4,32,736,783,108,1,0,4,1733,9,0,4,0
10,0,0,3,57,82,737,784,108,10,0,57,1733,8,0,6,0
59,0,4,0,349,413,738,785,108,59,0,349,15,132,5,12,0
1,0,0,10,46,78,739,786,108,1,0,46,753,10,0,4,0
2,0,0,13,62,96,740,787,108,2,0,62,2899,15,0,3,1
1,0,1,6,23,52,741,788,108,1,0,23,2899,10,0,2,0
3,0,2,13,72,120,742,789,108,3,0,72,15,46,0,10,0
1,0,1,5,18,44,743,790,108,1,0,18,2899,4,0,2,0
3,0,5,0,32,101,744,791,108,3,0,32,2899,21,0,7,0
1,0,0,8,37,65,745,792,108,1,0,37,753,9,0,3,0
9,0,8,3,56,133,746,793,108,9,0,56,2899,18,0,7,0
1,0,1,0,4,27,747,794,108,1,0,4,753,2,0,2,0
4,0,3,0,25,68,748,795,108,4,0,25,1733,26,0,9,0
1,0,6,2,45,97,749,796,108,1,0,45,753,6,0,4,0
2,0,0,11,50,81,750,797,108,2,0,50,2899,14,0,3,1
1,0,1,5,20,48,751,798,108,1,0,20,2899,10,0,2,0
1,0,0,18,74,112,752,799,108,1,0,74,831,10,0,4,0
1,0,0,8,36,64,753,800,108,1,0,36,2053,7,0,2,0
1,0,7,1,37,90,754,801,108,1,0,37,2899,11,0,6,1
2,0,0,4,15,37,755,802,108,2,0,15,2899,10,0,3,0
